Interval,Timestamp,Flume Depth(mm)[Central1_8S1897],AV Flow(l/s)[Central1_8S1897],Flume Flow(l/s)[Central1_8S1897],Total Precipitation (mm)[RG_RomanoWRP]
15 Min,2021-07-08 21:15,16.6,0.28,0.24,0
15 Min,2021-07-08 21:30,14.55,0.82,0.25,0
15 Min,2021-07-08 21:45,14.69,0.4,0.23,0
15 Min,2021-07-08 22:00,15.74,0.49,0.26,0
15 Min,2021-07-08 22:15,13.56,0.29,0.22,0
15 Min,2021-07-08 22:30,14.36,0.48,0.21,0
15 Min,2021-07-08 22:45,13.3,0.48,0.21,0
15 Min,2021-07-08 23:00,13.5,0.47,0.19,0
15 Min,2021-07-08 23:15,13.36,0.21,0.24,0
15 Min,2021-07-08 23:30,16.54,0.04,0.25,0
15 Min,2021-07-08 23:45,12.77,0.07,0.19,0
15 Min,2021-07-09 0:00,14.22,0.31,0.24,0
15 Min,2021-07-09 0:15,14.82,0.21,0.25,0
15 Min,2021-07-09 0:30,14.82,0.6,0.25,0
15 Min,2021-07-09 0:45,13.89,0.04,0.18,0
15 Min,2021-07-09 1:00,12.64,0.03,0.19,0
15 Min,2021-07-09 1:15,13.03,0.31,0.2,0
15 Min,2021-07-09 1:30,14.03,0.04,0.21,0
15 Min,2021-07-09 1:45,11.91,0,0.15,0
15 Min,2021-07-09 2:00,12.24,0.02,0.19,0
15 Min,2021-07-09 2:15,12.37,0,0.15,0
15 Min,2021-07-09 2:30,11.31,0,0.14,0
15 Min,2021-07-09 2:45,11.78,0.07,0.16,0
15 Min,2021-07-09 3:00,11.45,0,0.15,0
15 Min,2021-07-09 3:15,11.91,0,0.16,0
15 Min,2021-07-09 3:30,13.5,0.06,0.2,0
15 Min,2021-07-09 3:45,11.31,0,0.15,0
15 Min,2021-07-09 4:00,12.5,0,0.21,0
15 Min,2021-07-09 4:15,14.49,0,0.2,0
15 Min,2021-07-09 4:30,12.11,0.03,0.18,0
15 Min,2021-07-09 4:45,12.9,0,0.18,0
15 Min,2021-07-09 5:00,12.97,0.04,0.18,0
15 Min,2021-07-09 5:15,11.78,0.06,0.16,0
15 Min,2021-07-09 5:30,11.97,0,0.15,0
15 Min,2021-07-09 5:45,14.03,0.26,0.27,0
15 Min,2021-07-09 6:00,15.35,0.37,0.26,0
15 Min,2021-07-09 6:15,14.69,0.25,0.2,0
15 Min,2021-07-09 6:30,13.83,0.11,0.22,0
15 Min,2021-07-09 6:45,17.73,0.32,0.37,0
15 Min,2021-07-09 7:00,14.16,0.17,0.21,0
15 Min,2021-07-09 7:15,13.43,0.11,0.21,0
15 Min,2021-07-09 7:30,13.5,0,0.2,0
15 Min,2021-07-09 7:45,14.22,0.03,0.22,0
15 Min,2021-07-09 8:00,14.16,0.17,0.22,0
15 Min,2021-07-09 8:15,12.83,0,0.19,0
15 Min,2021-07-09 8:30,15.68,0.03,0.29,0
15 Min,2021-07-09 8:45,17.27,0.52,0.48,0
15 Min,2021-07-09 9:00,19.78,0.3,0.34,0
15 Min,2021-07-09 9:15,15.74,0,0.24,0
15 Min,2021-07-09 9:30,13.63,0,0.19,0
15 Min,2021-07-09 9:45,13.89,0.17,0.21,0
15 Min,2021-07-09 10:00,12.9,0.07,0.2,0
15 Min,2021-07-09 10:15,16.01,0.51,0.31,0
15 Min,2021-07-09 10:30,16.14,0.66,0.29,0
15 Min,2021-07-09 10:45,16.87,0.22,0.29,0
15 Min,2021-07-09 11:00,15.88,0.06,0.27,0
15 Min,2021-07-09 11:15,13.5,0.09,0.23,0
15 Min,2021-07-09 11:30,15.48,0.15,0.21,0
15 Min,2021-07-09 11:45,15.28,0.19,0.28,0
15 Min,2021-07-09 12:00,16.8,0.26,0.4,0
15 Min,2021-07-09 12:15,16.34,0.03,0.23,0
15 Min,2021-07-09 12:30,15.81,0.2,0.3,0
15 Min,2021-07-09 12:45,14.16,0.23,0.22,0
15 Min,2021-07-09 13:00,12.9,0.08,0.17,0
15 Min,2021-07-09 13:15,12.64,0,0.18,0
15 Min,2021-07-09 13:30,13.69,0.41,0.21,0
15 Min,2021-07-09 13:45,13.76,0,0.18,0
15 Min,2021-07-09 14:00,14.82,0.52,0.27,0
15 Min,2021-07-09 14:15,13.69,0.3,0.22,0
15 Min,2021-07-09 14:30,14.95,0.73,0.24,0
15 Min,2021-07-09 14:45,12.44,0.2,0.19,0
15 Min,2021-07-09 15:00,15.08,0.37,0.24,0
15 Min,2021-07-09 15:15,14.16,0.08,0.23,0
15 Min,2021-07-09 15:30,12.31,0.16,0.21,0
15 Min,2021-07-09 15:45,14.82,0.47,0.22,0
15 Min,2021-07-09 16:00,13.1,0.5,0.22,0
15 Min,2021-07-09 16:15,16.8,0.38,0.29,0
15 Min,2021-07-09 16:30,14.75,0.17,0.23,0
15 Min,2021-07-09 16:45,14.75,0.25,0.23,0
15 Min,2021-07-09 17:00,14.22,0.05,0.23,0
15 Min,2021-07-09 17:15,14.75,0.62,0.25,0
15 Min,2021-07-09 17:30,13.76,0.03,0.22,0
15 Min,2021-07-09 17:45,13.36,0.35,0.24,0
15 Min,2021-07-09 18:00,15.22,0.03,0.21,0
15 Min,2021-07-09 18:15,14.88,0.63,0.28,0
15 Min,2021-07-09 18:30,17.13,0.23,0.31,0
15 Min,2021-07-09 18:45,13.83,0.11,0.24,0
15 Min,2021-07-09 19:00,14.42,0.28,0.24,0
15 Min,2021-07-09 19:15,16.21,1.14,0.28,0
15 Min,2021-07-09 19:30,14.22,0.77,0.25,0
15 Min,2021-07-09 19:45,15.68,0.54,0.27,0
15 Min,2021-07-09 20:00,14.75,0.45,0.21,0
15 Min,2021-07-09 20:15,12.97,0.23,0.17,0
15 Min,2021-07-09 20:30,12.64,0.58,0.21,0
15 Min,2021-07-09 20:45,13.23,0.56,0.18,0
15 Min,2021-07-09 21:00,12.31,0.59,0.18,0
15 Min,2021-07-09 21:15,13.69,0.82,0.22,0
15 Min,2021-07-09 21:30,13.36,0.83,0.18,0
15 Min,2021-07-09 21:45,14.62,0.86,0.23,0
15 Min,2021-07-09 22:00,11.58,0.24,0.14,0
15 Min,2021-07-09 22:15,11.18,0.27,0.16,0
15 Min,2021-07-09 22:30,12.83,0.54,0.18,0
15 Min,2021-07-09 22:45,13.1,0.78,0.19,0
15 Min,2021-07-09 23:00,10.52,0.19,0.12,0
15 Min,2021-07-09 23:15,11.84,0.25,0.17,0
15 Min,2021-07-09 23:30,11.51,0.08,0.17,0
15 Min,2021-07-09 23:45,11.78,0.04,0.15,0
15 Min,2021-07-10 0:00,12.11,0.13,0.15,0
15 Min,2021-07-10 0:15,11.91,0.34,0.19,0
15 Min,2021-07-10 0:30,13.5,0.44,0.2,0
15 Min,2021-07-10 0:45,12.9,0.6,0.25,0
15 Min,2021-07-10 1:00,15.74,0.39,0.21,0
15 Min,2021-07-10 1:15,13.03,0.27,0.17,0
15 Min,2021-07-10 1:30,11.64,0.1,0.15,0
15 Min,2021-07-10 1:45,10.52,0.03,0.12,0
15 Min,2021-07-10 2:00,12.11,0.24,0.16,0
15 Min,2021-07-10 2:15,10.25,0,0.12,0
15 Min,2021-07-10 2:30,10.59,0.08,0.13,0
15 Min,2021-07-10 2:45,10.06,0,0.12,0
15 Min,2021-07-10 3:00,12.31,0.23,0.18,0
15 Min,2021-07-10 3:15,11.38,0.13,0.14,0
15 Min,2021-07-10 3:30,11.58,0.37,0.17,0
15 Min,2021-07-10 3:45,11.58,0.12,0.14,0
15 Min,2021-07-10 4:00,10.92,0.07,0.13,0
15 Min,2021-07-10 4:15,11.45,0.25,0.15,0
15 Min,2021-07-10 4:30,10.72,0.48,0.13,0
15 Min,2021-07-10 4:45,10.78,0.14,0.12,0
15 Min,2021-07-10 5:00,10.59,0.25,0.15,0
15 Min,2021-07-10 5:15,12.11,0.47,0.15,0
15 Min,2021-07-10 5:30,11.78,0.65,0.17,0
15 Min,2021-07-10 5:45,12.24,0.77,0.17,0
15 Min,2021-07-10 6:00,14.03,0.71,0.21,0
15 Min,2021-07-10 6:15,12.04,0.04,0.15,0
15 Min,2021-07-10 6:30,11.51,0.55,0.15,0
15 Min,2021-07-10 6:45,12.77,1.1,0.21,0
15 Min,2021-07-10 7:00,13.03,1.04,0.16,0
15 Min,2021-07-10 7:15,12.31,0.89,0.19,0
15 Min,2021-07-10 7:30,13.5,0.8,0.23,0
15 Min,2021-07-10 7:45,14.49,0.76,0.21,0
15 Min,2021-07-10 8:00,12.7,0.59,0.17,0
15 Min,2021-07-10 8:15,11.64,0.21,0.15,0
15 Min,2021-07-10 8:30,12.9,1.07,0.2,0
15 Min,2021-07-10 8:45,13.5,1.01,0.2,0
15 Min,2021-07-10 9:00,12.24,0.73,0.15,0
15 Min,2021-07-10 9:15,13.1,0.8,0.2,0
15 Min,2021-07-10 9:30,13.89,1.48,0.24,0
15 Min,2021-07-10 9:45,15.08,1.47,0.24,0
15 Min,2021-07-10 10:00,12.9,1.56,0.33,0
15 Min,2021-07-10 10:15,17.6,1.04,0.25,0
15 Min,2021-07-10 10:30,14.22,0.98,0.26,0
15 Min,2021-07-10 10:45,16.41,1.58,0.27,0
15 Min,2021-07-10 11:00,15.41,1.8,0.24,0
15 Min,2021-07-10 11:15,15.08,1.36,0.25,0
15 Min,2021-07-10 11:30,14.09,0.93,0.19,0
15 Min,2021-07-10 11:45,13.83,1.53,0.22,0
15 Min,2021-07-10 12:00,13.03,0.33,0.19,0
15 Min,2021-07-10 12:15,16.34,1.62,0.29,0
15 Min,2021-07-10 12:30,13.17,0.82,0.2,0
15 Min,2021-07-10 12:45,17,2.26,0.34,0
15 Min,2021-07-10 13:00,16.08,1.41,0.28,0
15 Min,2021-07-10 13:15,12.64,0.81,0.16,0
15 Min,2021-07-10 13:30,12.24,0.7,0.18,0
15 Min,2021-07-10 13:45,12.37,0.23,0.16,0
15 Min,2021-07-10 14:00,14.16,1.09,0.25,0
15 Min,2021-07-10 14:15,13.1,1.39,0.19,0
15 Min,2021-07-10 14:30,14.36,1.81,0.25,0
15 Min,2021-07-10 14:45,12.9,0.84,0.15,0
15 Min,2021-07-10 15:00,12.17,1.09,0.2,0
15 Min,2021-07-10 15:15,15.22,1.51,0.27,0
15 Min,2021-07-10 15:30,14.36,1.41,0.26,0
15 Min,2021-07-10 15:45,16.87,1.76,0.28,0
15 Min,2021-07-10 16:00,14.09,1.03,0.23,0
15 Min,2021-07-10 16:15,17.66,1,0.31,0
15 Min,2021-07-10 16:30,14.55,1.85,0.26,0
15 Min,2021-07-10 16:45,14.75,0.99,0.22,0
15 Min,2021-07-10 17:00,13.63,1.01,0.21,0
15 Min,2021-07-10 17:15,15.15,1.04,0.25,0
15 Min,2021-07-10 17:30,13.56,1.55,0.25,0
15 Min,2021-07-10 17:45,15.48,0.61,0.2,0
15 Min,2021-07-10 18:00,11.58,0.65,0.15,0
15 Min,2021-07-10 18:15,12.64,1.42,0.19,0
15 Min,2021-07-10 18:30,12.9,0.85,0.18,0
15 Min,2021-07-10 18:45,13.43,1.09,0.22,0
15 Min,2021-07-10 19:00,13.17,0.78,0.2,0
15 Min,2021-07-10 19:15,13.79,1.32,0.26,0
15 Min,2021-07-10 19:30,14.16,0.87,0.18,0
15 Min,2021-07-10 19:45,15.02,1.1,0.26,0
15 Min,2021-07-10 20:00,12.44,0.9,0.15,0
15 Min,2021-07-10 20:15,11.11,1.37,0.19,0
15 Min,2021-07-10 20:30,14.82,1.04,0.21,0
15 Min,2021-07-10 20:45,16.14,1.71,0.33,0
15 Min,2021-07-10 21:00,17.27,1.45,0.28,0
15 Min,2021-07-10 21:15,12.9,0.8,0.22,0
15 Min,2021-07-10 21:30,13.69,1.26,0.19,0
15 Min,2021-07-10 21:45,14.75,1.38,0.33,0
15 Min,2021-07-10 22:00,22.76,0.5,0.57,0
15 Min,2021-07-10 22:15,23.02,0.29,0.55,0
15 Min,2021-07-10 22:30,22.89,0.17,0.56,0
15 Min,2021-07-10 22:45,23.02,0.54,0.55,0
15 Min,2021-07-10 23:00,23.29,0.62,0.57,0
15 Min,2021-07-10 23:15,22.89,1.01,0.55,0
15 Min,2021-07-10 23:30,22.16,0.95,0.42,0
15 Min,2021-07-10 23:45,15.08,0.43,0.2,0
15 Min,2021-07-11 0:00,13.23,1.03,0.21,0
15 Min,2021-07-11 0:15,13.1,1.16,0.24,0
15 Min,2021-07-11 0:30,14.29,0.91,0.18,0
15 Min,2021-07-11 0:45,10.45,0.59,0.12,0
15 Min,2021-07-11 1:00,10.85,1.34,0.16,0
15 Min,2021-07-11 1:15,11.97,0.83,0.14,0
15 Min,2021-07-11 1:30,10.06,0.25,0.12,0
15 Min,2021-07-11 1:45,11.05,0.62,0.15,0
15 Min,2021-07-11 2:00,11.05,0.63,0.14,0
15 Min,2021-07-11 2:15,11.11,0.32,0.12,0
15 Min,2021-07-11 2:30,10.25,0.39,0.12,0
15 Min,2021-07-11 2:45,10.25,0.39,0.11,0
15 Min,2021-07-11 3:00,9.39,0.46,0.11,0
15 Min,2021-07-11 3:15,9.86,0.43,0.1,0
15 Min,2021-07-11 3:30,10.25,0.54,0.12,0
15 Min,2021-07-11 3:45,9.73,0.31,0.1,0
15 Min,2021-07-11 4:00,10.65,0.75,0.14,0
15 Min,2021-07-11 4:15,10.19,0.39,0.12,0
15 Min,2021-07-11 4:30,11.11,0.51,0.13,0
15 Min,2021-07-11 4:45,10.39,0.8,0.13,0
15 Min,2021-07-11 5:00,10.25,0.59,0.12,0.1
15 Min,2021-07-11 5:15,11.31,0.45,0.16,0
15 Min,2021-07-11 5:30,12.31,1.25,0.2,0.3
15 Min,2021-07-11 5:45,13.83,1.12,0.21,0.4
15 Min,2021-07-11 6:00,12.7,1.04,0.17,0.3
15 Min,2021-07-11 6:15,14.62,1.54,0.26,0.7
15 Min,2021-07-11 6:30,13.43,0.47,0.19,0.5
15 Min,2021-07-11 6:45,15.15,1.18,0.31,0.4
15 Min,2021-07-11 7:00,17.86,1.45,0.31,0.4
15 Min,2021-07-11 7:15,17.2,1.51,0.33,0.7
15 Min,2021-07-11 7:30,19.71,1.99,0.41,1.1
15 Min,2021-07-11 7:45,16.67,1.41,0.3,0.9
15 Min,2021-07-11 8:00,16.34,1.29,0.3,1.1
15 Min,2021-07-11 8:15,16.21,1.46,0.24,0.4
15 Min,2021-07-11 8:30,17.6,1.61,0.4,0.3
15 Min,2021-07-11 8:45,17.6,1.13,0.3,0.3
15 Min,2021-07-11 9:00,17.6,2.1,0.36,0.3
15 Min,2021-07-11 9:15,17.4,2,0.31,0.4
15 Min,2021-07-11 9:30,17.93,1.84,0.38,0.7
15 Min,2021-07-11 9:45,18.52,0.4,0.35,0.5
15 Min,2021-07-11 10:00,17.66,0.59,0.35,0.3
15 Min,2021-07-11 10:15,17.6,0.28,0.32,0.3
15 Min,2021-07-11 10:30,18.26,0.41,0.36,0.3
15 Min,2021-07-11 10:45,17.6,0.39,0.34,0.1
15 Min,2021-07-11 11:00,16.87,0.34,0.31,0.2
15 Min,2021-07-11 11:15,16.08,0.22,0.28,0.1
15 Min,2021-07-11 11:30,18.92,1.28,0.4,0
15 Min,2021-07-11 11:45,17,1.11,0.3,0
15 Min,2021-07-11 12:00,16.21,0.62,0.3,0
15 Min,2021-07-11 12:15,16.27,0.78,0.27,0
15 Min,2021-07-11 12:30,15.88,1.09,0.29,0
15 Min,2021-07-11 12:45,15.74,0.48,0.27,0
15 Min,2021-07-11 13:00,17.46,0.91,0.32,0
15 Min,2021-07-11 13:15,16.41,1.03,0.32,0
15 Min,2021-07-11 13:30,16.41,1.35,0.3,0.1
15 Min,2021-07-11 13:45,18.46,1.03,0.39,0.9
15 Min,2021-07-11 14:00,18.92,1.63,0.39,0.4
15 Min,2021-07-11 14:15,17,1.92,0.26,0.2
15 Min,2021-07-11 14:30,15.15,1.46,0.24,0.2
15 Min,2021-07-11 14:45,14.75,1.64,0.26,0.1
15 Min,2021-07-11 15:00,16.8,2.16,0.35,0
15 Min,2021-07-11 15:15,18.26,1.63,0.38,0.1
15 Min,2021-07-11 15:30,16.41,1.18,0.22,0
15 Min,2021-07-11 15:45,15.68,1.81,0.41,0.1
15 Min,2021-07-11 16:00,20.24,2.25,0.44,0.1
15 Min,2021-07-11 16:15,19.85,1.52,0.35,0
15 Min,2021-07-11 16:30,18.52,2.22,0.36,0
15 Min,2021-07-11 16:45,16.94,1.71,0.31,0
15 Min,2021-07-11 17:00,18.85,1.97,0.35,0
15 Min,2021-07-11 17:15,16.21,1.79,0.34,0
15 Min,2021-07-11 17:30,18.32,1.79,0.35,0
15 Min,2021-07-11 17:45,14.42,1.25,0.23,0
15 Min,2021-07-11 18:00,17,1.34,0.43,0
15 Min,2021-07-11 18:15,18.99,1.95,0.35,0
15 Min,2021-07-11 18:30,18.13,2.01,0.3,0
15 Min,2021-07-11 18:45,15.35,1.41,0.25,0
15 Min,2021-07-11 19:00,15.61,2.4,0.29,0
15 Min,2021-07-11 19:15,15.91,1.12,0.3,0
15 Min,2021-07-11 19:30,17.53,2.1,0.52,0.1
15 Min,2021-07-11 19:45,20.57,1.5,0.27,0.1
15 Min,2021-07-11 20:00,16.01,1.67,0.29,0.2
15 Min,2021-07-11 20:15,17.2,1.67,0.31,0.2
15 Min,2021-07-11 20:30,15.41,1.65,0.26,0.2
15 Min,2021-07-11 20:45,16.8,1.59,0.34,0.1
15 Min,2021-07-11 21:00,16.6,2.4,0.26,0.2
15 Min,2021-07-11 21:15,15.41,1.71,0.28,0.1
15 Min,2021-07-11 21:30,17.27,2.17,0.39,0
15 Min,2021-07-11 21:45,19.85,2.23,0.36,0.1
15 Min,2021-07-11 22:00,16.54,1.52,0.27,0
15 Min,2021-07-11 22:15,14.88,1.58,0.25,0
15 Min,2021-07-11 22:30,15.02,1.62,0.25,0
15 Min,2021-07-11 22:45,15.08,1.25,0.25,0
15 Min,2021-07-11 23:00,16.21,1.83,0.33,0
15 Min,2021-07-11 23:15,14.29,0.81,0.21,0
15 Min,2021-07-11 23:30,13.3,1.12,0.22,0
15 Min,2021-07-11 23:45,16.27,1.28,0.28,0
15 Min,2021-07-12 0:00,13.5,0.97,0.18,0
15 Min,2021-07-12 0:15,13.43,0.59,0.2,0
15 Min,2021-07-12 0:30,13.1,1.2,0.21,0
15 Min,2021-07-12 0:45,13.17,0.42,0.17,0
15 Min,2021-07-12 1:00,12.31,0.96,0.22,0
15 Min,2021-07-12 1:15,14.22,0.93,0.18,0
15 Min,2021-07-12 1:30,12.97,0.83,0.19,0
15 Min,2021-07-12 1:45,13.1,0.59,0.18,0
15 Min,2021-07-12 2:00,12.7,0.39,0.19,0
15 Min,2021-07-12 2:15,12.77,0.39,0.18,0
15 Min,2021-07-12 2:30,12.57,0.26,0.17,0
15 Min,2021-07-12 2:45,11.97,0.41,0.16,0
15 Min,2021-07-12 3:00,12.11,0.82,0.17,0
15 Min,2021-07-12 3:15,13.96,1.25,0.22,0
15 Min,2021-07-12 3:30,13.17,1.08,0.19,0
15 Min,2021-07-12 3:45,12.44,0.67,0.17,0
15 Min,2021-07-12 4:00,12.17,0.81,0.17,0
15 Min,2021-07-12 4:15,12.44,0.73,0.17,0
15 Min,2021-07-12 4:30,11.91,0.6,0.16,0
15 Min,2021-07-12 4:45,12.11,0.61,0.16,0
15 Min,2021-07-12 5:00,13.1,1.28,0.2,0
15 Min,2021-07-12 5:15,13.23,0.71,0.19,0
15 Min,2021-07-12 5:30,12.77,0.59,0.18,0
15 Min,2021-07-12 5:45,13.43,0.97,0.21,0
15 Min,2021-07-12 6:00,13.23,0.92,0.18,0
15 Min,2021-07-12 6:15,12.7,1.19,0.22,0
15 Min,2021-07-12 6:30,17.07,1.38,0.31,0
15 Min,2021-07-12 6:45,15.08,0.8,0.26,0
15 Min,2021-07-12 7:00,14.29,0.41,0.19,0
15 Min,2021-07-12 7:15,13.1,0.42,0.2,0
15 Min,2021-07-12 7:30,12.7,0.72,0.18,0
15 Min,2021-07-12 7:45,12.17,0.78,0.21,0.1
15 Min,2021-07-12 8:00,14.88,0.92,0.22,0
15 Min,2021-07-12 8:15,14.82,0.96,0.29,0
15 Min,2021-07-12 8:30,16.47,0.81,0.26,0
15 Min,2021-07-12 8:45,12.83,0.47,0.18,0
15 Min,2021-07-12 9:00,13.56,0.84,0.22,0
15 Min,2021-07-12 9:15,17.13,0.77,0.33,0.1
15 Min,2021-07-12 9:30,13.76,0.94,0.21,0.1
15 Min,2021-07-12 9:45,14.03,0.79,0.26,0.2
15 Min,2021-07-12 10:00,16.01,0.77,0.24,0
15 Min,2021-07-12 10:15,14.69,0.87,0.25,0.1
15 Min,2021-07-12 10:30,16.87,1.21,0.36,0
15 Min,2021-07-12 10:45,16.21,1.11,0.26,0
15 Min,2021-07-12 11:00,14.42,0.38,0.2,0
15 Min,2021-07-12 11:15,15.88,1.18,0.3,0
15 Min,2021-07-12 11:30,14.09,0.94,0.23,0
15 Min,2021-07-12 11:45,14.62,0.96,0.23,0
15 Min,2021-07-12 12:00,13.83,0.66,0.2,0
15 Min,2021-07-12 12:15,14.36,1.04,0.26,0
15 Min,2021-07-12 12:30,22.23,1.25,0.61,0
15 Min,2021-07-12 12:45,24.94,1.68,0.75,0
15 Min,2021-07-12 13:00,23.09,1.19,0.46,0
15 Min,2021-07-12 13:15,20.31,0.73,0.48,0
15 Min,2021-07-12 13:30,21.96,1.19,0.49,0
15 Min,2021-07-12 13:45,21.17,0.83,0.42,0
15 Min,2021-07-12 14:00,19.85,1.3,0.44,0
15 Min,2021-07-12 14:15,17.13,0.83,0.37,0
15 Min,2021-07-12 14:30,19.78,1.71,0.36,0.1
15 Min,2021-07-12 14:45,15.61,1.57,0.25,0
15 Min,2021-07-12 15:00,13.17,0.84,0.18,0
15 Min,2021-07-12 15:15,16.14,2.06,0.34,0
15 Min,2021-07-12 15:30,15.68,0.71,0.25,0
15 Min,2021-07-12 15:45,15.55,1.16,0.26,0
15 Min,2021-07-12 16:00,13.56,1.8,0.24,0
15 Min,2021-07-12 16:15,16.14,1.59,0.25,0
15 Min,2021-07-12 16:30,16.27,2.37,0.32,0
15 Min,2021-07-12 16:45,17.6,2.13,0.33,0
15 Min,2021-07-12 17:00,15.08,1.15,0.21,0
15 Min,2021-07-12 17:15,14.29,1.14,0.24,0
15 Min,2021-07-12 17:30,15.28,1.75,0.26,0
15 Min,2021-07-12 17:45,14.82,0.67,0.23,0
15 Min,2021-07-12 18:00,17.46,1.68,0.36,0
15 Min,2021-07-12 18:15,17,2.15,0.31,0
15 Min,2021-07-12 18:30,13.36,0.86,0.19,0
15 Min,2021-07-12 18:45,13.56,1.56,0.23,0
15 Min,2021-07-12 19:00,15.02,2.45,0.29,0
15 Min,2021-07-12 19:15,16.87,1.72,0.27,0
15 Min,2021-07-12 19:30,15.48,1.43,0.26,0
15 Min,2021-07-12 19:45,14.29,0.43,0.2,0
15 Min,2021-07-12 20:00,15.02,0.86,0.27,0
15 Min,2021-07-12 20:15,13.96,1.61,0.22,0
15 Min,2021-07-12 20:30,13.36,0.16,0.17,0
15 Min,2021-07-12 20:45,13.1,0.61,0.21,0
15 Min,2021-07-12 21:00,12.57,0.09,0.15,0
15 Min,2021-07-12 21:15,12.17,0.67,0.19,0
15 Min,2021-07-12 21:30,14.62,0.32,0.23,0
15 Min,2021-07-12 21:45,12.5,1.11,0.21,0
15 Min,2021-07-12 22:00,14.09,0.25,0.21,0
15 Min,2021-07-12 22:15,12.83,0,0.17,0
15 Min,2021-07-12 22:30,11.31,0.3,0.2,0
15 Min,2021-07-12 22:45,15.15,0.23,0.2,0
15 Min,2021-07-12 23:00,11.71,0.5,0.16,0
15 Min,2021-07-12 23:15,12.11,0.57,0.16,0
15 Min,2021-07-12 23:30,12.04,0.54,0.16,0
15 Min,2021-07-12 23:45,11.64,0.73,0.17,0
15 Min,2021-07-13 0:00,12.97,1.63,0.22,0
15 Min,2021-07-13 0:15,13.3,0.61,0.16,0
15 Min,2021-07-13 0:30,12.57,0.38,0.19,0
15 Min,2021-07-13 0:45,12.97,0.96,0.19,0
15 Min,2021-07-13 1:00,11.58,0.69,0.16,0
15 Min,2021-07-13 1:15,13.83,1.54,0.28,0
15 Min,2021-07-13 1:30,17.2,0.96,0.26,0
15 Min,2021-07-13 1:45,12.9,1,0.17,0
15 Min,2021-07-13 2:00,11.71,0.29,0.15,0
15 Min,2021-07-13 2:15,11.11,0.29,0.14,0
15 Min,2021-07-13 2:30,11.11,0.4,0.15,0
15 Min,2021-07-13 2:45,12.83,0.71,0.19,0
15 Min,2021-07-13 3:00,11.25,0.28,0.14,0.1
15 Min,2021-07-13 3:15,11.58,0.66,0.16,0
15 Min,2021-07-13 3:30,14.09,0.95,0.23,0.1
15 Min,2021-07-13 3:45,12.9,0.36,0.17,0.2
15 Min,2021-07-13 4:00,11.71,0.41,0.15,0.1
15 Min,2021-07-13 4:15,14.03,0.73,0.27,0
15 Min,2021-07-13 4:30,13.43,0.84,0.17,0.1
15 Min,2021-07-13 4:45,11.51,0.8,0.15,0
15 Min,2021-07-13 5:00,12.64,0.66,0.18,0
15 Min,2021-07-13 5:15,12.17,0.63,0.16,0
15 Min,2021-07-13 5:30,11.25,0.65,0.15,0
15 Min,2021-07-13 5:45,11.91,0.96,0.17,0.2
15 Min,2021-07-13 6:00,12.7,0.96,0.24,0
15 Min,2021-07-13 6:15,17.33,0.96,0.34,0.1
15 Min,2021-07-13 6:30,15.02,0.63,0.4,0.1
15 Min,2021-07-13 6:45,18.32,0.8,0.19,0
15 Min,2021-07-13 7:00,12.7,1.12,0.19,0.1
15 Min,2021-07-13 7:15,16.27,1.6,0.3,0.1
15 Min,2021-07-13 7:30,14.75,0.67,0.24,0
15 Min,2021-07-13 7:45,13.36,0.6,0.2,0
15 Min,2021-07-13 8:00,12.97,0.72,0.17,0.3
15 Min,2021-07-13 8:15,11.71,0.7,0.14,0
15 Min,2021-07-13 8:30,11.45,0.78,0.17,0
15 Min,2021-07-13 8:45,12.64,0.39,0.18,0
15 Min,2021-07-13 9:00,13.83,0.49,0.2,0
15 Min,2021-07-13 9:15,15.81,0.43,0.3,0
15 Min,2021-07-13 9:30,14.55,0.13,0.24,0
15 Min,2021-07-13 9:45,15.61,0.39,0.24,0
15 Min,2021-07-13 10:00,14.49,0.84,0.27,0
15 Min,2021-07-13 10:15,16.94,1.32,0.32,0
15 Min,2021-07-13 10:30,14.03,0.65,0.18,0
15 Min,2021-07-13 10:45,14.22,1.02,0.24,0
15 Min,2021-07-13 11:00,14.09,0.95,0.22,0
15 Min,2021-07-13 11:15,12.9,0.69,0.19,0
15 Min,2021-07-13 11:30,14.29,1.3,0.24,0
15 Min,2021-07-13 11:45,13.23,1.45,0.23,0
15 Min,2021-07-13 12:00,18.79,1.49,0.36,0
15 Min,2021-07-13 12:15,16.08,1.48,0.31,0
15 Min,2021-07-13 12:30,16.8,1.1,0.27,0
15 Min,2021-07-13 12:45,14.88,1.15,0.23,0
15 Min,2021-07-13 13:00,12.7,1.15,0.22,0
15 Min,2021-07-13 13:15,18.52,0.86,0.34,0
15 Min,2021-07-13 13:30,14.69,0.94,0.25,0
15 Min,2021-07-13 13:45,15.02,1.19,0.28,0
15 Min,2021-07-13 14:00,16.08,1.62,0.28,0
15 Min,2021-07-13 14:15,15.02,1.4,0.23,0
15 Min,2021-07-13 14:30,13.69,1.01,0.19,0
15 Min,2021-07-13 14:45,13.3,1,0.21,0
15 Min,2021-07-13 15:00,14.03,1.36,0.23,0
15 Min,2021-07-13 15:15,15.68,1.16,0.3,0
15 Min,2021-07-13 15:30,16.87,1.45,0.29,0
15 Min,2021-07-13 15:45,13.83,0.71,0.19,0
15 Min,2021-07-13 16:00,14.03,0.67,0.25,0
15 Min,2021-07-13 16:15,16.41,1.26,0.29,0
